#portID	slaveID	chipID	channelID	vth_t1	vth_t2	vth_e
0	0	10	44	20	20	15
0	0	12	51	20	20	15
0	0	0	24	20	20	15
0	0	4	35	20	20	15
0	0	10	23	20	20	15
0	0	4	30	20	20	15
0	0	12	5	20	20	15
0	0	2	19	20	20	15
0	0	4	25	20	20	15
0	0	4	34	20	20	15
0	0	10	11	20	20	15
0	0	4	20	20	20	15
0	0	10	19	20	20	15
0	0	0	26	20	20	15
0	0	4	23	20	20	15
0	0	10	52	20	20	15
0	0	4	18	20	20	15
0	0	2	17	20	20	15
0	0	4	13	20	20	15
0	0	12	29	20	20	15
0	0	4	8	20	20	15
0	0	10	48	20	20	15
0	0	10	60	20	20	15
0	0	12	58	20	20	15
0	0	2	22	20	20	15
0	0	4	11	20	20	15
0	0	12	46	20	20	15
0	0	10	27	20	20	15
0	0	4	6	20	20	15
0	0	12	33	20	20	15
0	0	12	28	20	20	15
0	0	2	23	20	20	15
0	0	4	1	20	20	15
0	0	12	62	20	20	15
0	0	2	2	20	20	15
0	0	12	21	20	20	15
0	0	0	30	20	20	15
0	0	0	11	20	20	15
0	0	10	56	20	20	15
0	0	0	14	20	20	15
0	0	2	21	20	20	15
0	0	2	11	20	20	15
0	0	4	24	20	20	15
0	0	12	43	20	20	15
0	0	0	4	20	20	15
0	0	12	61	20	20	15
0	0	12	8	20	20	15
0	0	12	54	20	20	15
0	0	2	26	20	20	15
0	0	0	7	20	20	15
0	0	2	16	20	20	15
0	0	2	44	20	20	15
0	0	10	0	20	20	15
0	0	2	27	20	20	15
0	0	0	29	20	20	15
0	0	12	6	20	20	15
0	0	10	50	20	20	15
0	0	0	16	20	20	15
0	0	10	7	20	20	15
0	0	2	24	20	20	15
0	0	0	19	20	20	15
0	0	10	12	20	20	15
0	0	4	44	20	20	15
0	0	0	22	20	20	15
0	0	10	2	20	20	15
0	0	12	14	20	20	15
0	0	10	33	20	20	15
0	0	2	25	20	20	15
0	0	0	41	20	20	15
0	0	2	40	20	20	15
0	0	10	8	20	20	15
0	0	0	44	20	20	15
0	0	12	2	20	20	15
0	0	2	30	20	20	15
0	0	0	47	20	20	15
0	0	10	45	20	20	15
0	0	4	63	20	20	15
0	0	0	34	20	20	15
0	0	10	20	20	20	15
0	0	2	31	20	20	15
0	0	0	37	20	20	15
0	0	4	22	20	20	15
0	0	4	53	20	20	15
0	0	0	56	20	20	15
0	0	12	35	20	20	15
0	0	2	28	20	20	15
0	0	0	59	20	20	15
0	0	10	16	20	20	15
0	0	12	26	20	20	15
0	0	4	51	20	20	15
0	0	0	62	20	20	15
0	0	10	53	20	20	15
0	0	2	29	20	20	15
0	0	0	49	20	20	15
0	0	12	38	20	20	15
0	0	4	41	20	20	15
0	0	0	52	20	20	15
0	0	12	37	20	20	15
0	0	12	30	20	20	15
0	0	2	34	20	20	15
0	0	0	55	20	20	15
0	0	12	59	20	20	15
0	0	4	39	20	20	15
0	0	12	60	20	20	15
0	0	10	24	20	20	15
0	0	4	48	20	20	15
0	0	2	35	20	20	15
0	0	12	18	20	20	15
0	0	10	41	20	20	15
0	0	10	61	20	20	15
0	0	4	29	20	20	15
0	0	12	63	20	20	15
0	0	2	32	20	20	15
0	0	12	10	20	20	15
0	0	10	49	20	20	15
0	0	4	27	20	20	15
0	0	10	51	20	20	15
0	0	10	57	20	20	15
0	0	12	23	20	20	15
0	0	2	33	20	20	15
0	0	10	62	20	20	15
